1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
3,11,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,15,2,1,1,1,2,11,10,11,11,10,11,11,9,10,2,7,7,3,2,2.421052632,2,1,1,2,1,2,6,6,6,6,7
7,6,2,2,1,2,3,1,4,1,1,1,1,1,1,1,1,37,1,1,1,1,2,11,9,10,11,9,10,12,8,10,6,6,8,5,0,1.375,3,1,1,5,2,2,1,7,7,8,7
1,9,4,1,1,3,3,2,4,1,1,1,1,1,1,1,1,4,2,1,1,1,2,9,7,8,9,7,8,10,8,9,6,7,3,3,0,1.680851064,2,1,1,3,1,1,2,5,4,4,7
4,10,1,1,1,3,3,2,4,1,1,1,1,1,1,1,1,16,2,1,1,1,2,11,9,10,11,9,10,12,9,10,2,7,7,2,1,1.578947368,2,1,2,2,1,2,3,6,6,6,7
4,8,1,1,1,2,2,1,4,1,1,1,1,1,1,1,1,31,2,1,1,1,2,11,10,11,11,10,11,12,9,10,2,3,3,3,1,1.909090909,2,1,1,3,2,2,6,8,7,8,7
2,11,1,1,1,2,3,1,4,1,3,1,3,1,3,1,3,31,1,1,1,1,2,11,9,10,11,9,10,11,9,10,7,2,7,3,1,1.684210526,2,1,2,2,1,1,1,7,7,7,7
1,5,1,1,1,3,3,1,4,1,1,1,1,1,1,1,1,37,2,1,1,1,2,11,9,10,11,9,10,11,9,10,7,2,7,3,1,1.958333333,2,1,1,3,1,2,6,8,8,8,7
4,6,2,1,1,3,1,1,4,1,2,1,2,1,2,1,2,37,3,1,1,1,2,10,6,8,10,6,8,9,6,7,3,2,2,3,2,2.208333333,2,1,1,2,1,2,2,5,5,5,7
4,5,2,1,1,2,3,1,4,1,1,1,1,1,1,1,1,29,1,1,1,1,2,11,10,10,11,10,10,12,9,10,2,5,3,3,1,1.75,2,1,1,2,1,1,6,7,6,6,7
4,6,1,1,1,2,2,3,1,2,1,2,1,2,1,2,1,30,3,1,1,1,4,11,9,10,11,9,10,11,9,10,5,7,7,3,0,1.666666667,2,1,1,2,1,2,1,8,8,7,7
